encoder,alpha,variant,R@1,R@3,R@5,R@10,MRR
DarijaBERT,0.0,darija_query,0.5633333333333334,0.7266666666666667,0.7633333333333333,0.8033333333333333,0.6507460317460317
DarijaBERT,0.0,M4_rulebased,0.5433333333333333,0.7,0.74,0.7933333333333333,0.6264272486772486
DarijaBERT,0.0,M3_rule_expansion,0.5533333333333333,0.72,0.76,0.8033333333333333,0.6418902116402116
DarijaBERT,0.2,msa_query,0.8166666666666667,0.8966666666666666,0.92,0.93,0.861101851851852
DarijaBERT,0.2,darija_query,0.6133333333333333,0.77,0.7966666666666666,0.84,0.6961005291005291
DarijaBERT,0.2,M4_rulebased,0.5733333333333334,0.7433333333333333,0.7866666666666666,0.8233333333333334,0.659797619047619
DarijaBERT,0.2,M3_rule_expansion,0.5933333333333334,0.76,0.8033333333333333,0.8333333333333334,0.6802354497354497
DarijaBERT,0.4,msa_query,0.84,0.92,0.9266666666666666,0.9333333333333333,0.8780277777777779
DarijaBERT,0.4,darija_query,0.68,0.7966666666666666,0.8233333333333334,0.8566666666666667,0.7447989417989418
DarijaBERT,0.4,M4_rulebased,0.6266666666666667,0.7933333333333333,0.8166666666666667,0.8466666666666667,0.7107169312169312
DarijaBERT,0.4,M3_rule_expansion,0.6566666666666666,0.7933333333333333,0.8166666666666667,0.85,0.7281415343915344
DarijaBERT,0.6,msa_query,0.8566666666666667,0.9266666666666666,0.94,0.9533333333333334,0.8954246031746033
DarijaBERT,0.6,darija_query,0.72,0.8333333333333334,0.8566666666666667,0.8833333333333333,0.7785952380952381
DarijaBERT,0.6,M4_rulebased,0.6966666666666667,0.8266666666666667,0.8466666666666667,0.8933333333333333,0.7657936507936508
DarijaBERT,0.6,M3_rule_expansion,0.71,0.8233333333333334,0.86,0.8966666666666666,0.7755992063492063
DarijaBERT,0.8,msa_query,0.8766666666666667,0.9333333333333333,0.9466666666666667,0.9533333333333334,0.9072870370370371
DarijaBERT,0.8,darija_query,0.7366666666666667,0.86,0.8866666666666667,0.9366666666666666,0.811063492063492
DarijaBERT,0.8,M4_rulebased,0.7333333333333333,0.8533333333333334,0.8866666666666667,0.9166666666666666,0.8024933862433863
DarijaBERT,0.8,M3_rule_expansion,0.7366666666666667,0.8833333333333333,0.9033333333333333,0.9266666666666666,0.8141851851851852
DarijaBERT,1.0,msa_query,0.6033333333333334,0.7766666666666666,0.8133333333333334,0.8833333333333333,0.6963227513227513
DarijaBERT,1.0,darija_query,0.41333333333333333,0.62,0.6966666666666667,0.79,0.5339140211640211
DarijaBERT,1.0,M4_rulebased,0.4166666666666667,0.6133333333333333,0.6966666666666667,0.78,0.5317248677248677
DarijaBERT,1.0,M3_rule_expansion,0.4666666666666667,0.66,0.73,0.8,0.5778716931216931
